Nom gare;Code Gare;Type jour;Année;Date de comptage;Ligne;Axe;Tranche horaire;Montants
LA DEFENSE GRANDE ARCHE;87382218;Samedi;2019;2019-03-16;L;L2;De 16h à 20h;6799
JOUY SUR MORIN MONUMENT;87430884;Dimanche;2019;2019-05-12;P;P;De 10h à 16h;15
MENNECY;87681411;Dimanche;2019;2019-03-24;D;D;De 6h à 10h;89
PANTIN;87113209;Dimanche;2016;2016-10-02;E;E;De 10h à 16h;2528
VIRY CHATILLON;87681312;Dimanche;2019;2019-03-24;D;D;Après 20h;314
MAREUIL SUR OURCQ;87116665;Samedi;2019;2019-05-11;P;P;De 16h à 20h;1
LA FERTE GAUCHER;87116392;JOB;2019;2019-05-14;P;P;De 10h à 16h;3
MUSEE D'ORSAY;87547307;Samedi;2017;2017-04-22;C;C;De 16h à 20h;2322
PANTIN;87113209;JOB;2016;2016-10-04;E;E;De 10h à 16h;2788
PONT DU GARIGLIANO - HOPITAL EUROPEEN GEORGES POMPIDOU;87393322;Samedi;2017;2017-04-22;C;C;Avant 6h;3
MARLES EN BRIE;87116228;Dimanche;2019;2019-03-16;P;P;Après 20h;20
LA FERTE GAUCHER CENTRE;87430819;Samedi;2019;2019-05-11;P;P;De 16h à 20h;3
ORLY VILLE;87546200;JOB;2017;2017-04-25;C;C;Après 20h;100
PANTIN;87113209;Samedi;2016;2016-10-01;E;E;De 10h à 16h;2640
VIRY CHATILLON;87681312;JOB;2019;2019-03-26;D;D;De 6h à 10h;1610
MARLES EN BRIE;87116228;Samedi;2019;2019-03-15;P;P;De 6h à 10h;53
COURBEVOIE;87382200;Samedi;2019;2019-03-16;L;L2;De 16h à 20h;1258
MOULIN GALANT;87681403;Samedi;2019;2019-03-23;D;D;Après 20h;43
PANTIN;87113209;Samedi;2016;2016-10-01;E;E;De 6h à 10h;1375
VIRY CHATILLON;87681312;Samedi;2019;2019-03-23;D;D;De 16h à 20h;1092
MARLY LE ROI;87382465;JOB;2019;2019-03-14;L;L2;De 6h à 10h;2075
LA FERTE SOUS JOUARRE;87116517;Dimanche;2019;2019-05-12;P;P;De 16h à 20h;398
PARIS NORD;87271031;Samedi;2019;2019-03-23;D;D;De 10h à 16h;23261
ROSA PARKS;87654798;Dimanche;2016;2016-10-02;E;E;De 10h à 16h;1757
VOSVES;87682500;JOB;2019;2019-03-26;D;D;Après 20h;1
PONT CARDINET;87381111;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;619
LA CELLE SAINT-CLOUD;87382432;Dimanche;2019;2019-03-17;L;L2;De 10h à 16h;491
PEREIRE LEVALLOIS;87381012;Samedi;2017;2017-04-22;C;C;De 6h à 10h;337
LA FRETTE MONTIGNY;87381871;Dimanche;2016;2016-11-20;J;J6;De 10h à 16h;268
VOSVES;87682500;JOB;2019;2019-03-26;D;D;De 10h à 16h;7
PUTEAUX;87382382;Dimanche;2019;2019-03-17;L;L2;De 6h à 10h;220
LA CELLE SAINT-CLOUD;87382432;Samedi;2019;2019-03-16;L;L2;De 6h à 10h;339
PETIT VAUX;87393652;Dimanche;2017;2017-04-23;C;C;Avant 6h;1
LA FRETTE MONTIGNY;87381871;JOB;2018;2018-01-23;J;J6;Après 20h;28
SAINT-CHERON;87545509;Samedi;2017;2017-04-22;C;C;De 16h à 20h;103
PARIS EST;87113001;JOB;2019;2019-05-14;P;P;De 6h à 10h;852
MAREUIL SUR OURCQ;87116665;JOB;2019;2019-05-14;P;P;Après 20h;7
SAINT-DENIS;87271015;Samedi;2019;2019-03-23;D;D;De 10h à 16h;7491
LA FRETTE MONTIGNY;87381871;JOB;2018;2018-01-23;J;J6;De 16h à 20h;118
GAGNY;87113514;Samedi;2016;2016-10-01;E;E;De 6h à 10h;955
SURESNES MONT VALERIEN;87382374;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;432
LOUVECIENNES;87382457;JOB;2019;2019-03-14;L;L2;De 10h à 16h;397
PLACE DU GENERAL LECLERC;87221111;Samedi;2017;2017-04-22;C;C;De 6h à 10h;3
LA VILLETERTRE;87381202;JOB;2018;2018-01-23;J;J6;Après 20h;0
HAUSSMANN SAINT-LAZARE;87281899;Dimanche;2016;2016-10-02;E;E;De 16h à 20h;10485
PROVINS;87116160;JOB;2019;2019-05-16;P;P;De 16h à 20h;194
MEAUX;87116103;JOB;2019;2019-05-14;P;P;Avant 6h;192
PONT DE L'ALMA;87393041;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;278
ROSNY SOUS BOIS;87113704;Dimanche;2016;2016-10-02;E;E;De 10h à 16h;1722
HAUSSMANN SAINT-LAZARE;87281899;JOB;2016;2016-10-04;E;E;De 16h à 20h;45752
SURESNES MONT VALERIEN;87382374;Samedi;2019;2019-03-16;L;L2;De 6h à 10h;258
MARLY LE ROI;87382465;JOB;2019;2019-03-14;L;L2;Avant 6h;59
VILLABE;87681619;Dimanche;2019;2019-03-24;D;D;De 10h à 16h;50
ROSNY SOUS BOIS;87113704;Samedi;2016;2016-10-01;E;E;Après 20h;632
SAINT-MARTIN D'ETAMPES;87545350;JOB;2017;2017-04-25;C;C;Avant 6h;116
PROVINS;87116160;JOB;2019;2019-05-14;P;P;De 6h à 10h;467
MEAUX;87116103;Samedi;2019;2019-03-15;P;P;Après 20h;565
PONT DE RUNGIS AEROPORT D'ORLY;87546192;JOB;2017;2017-04-25;C;C;Après 20h;88
MANTES STATION;87381590;Dimanche;2016;2016-11-20;J;J6;De 10h à 16h;97
MAGENTA;87281873;JOB;2016;2016-10-04;E;E;De 16h à 20h;28695
SAINT-REMY LA VANNE;87116376;Samedi;2019;2019-05-11;P;P;De 10h à 16h;6
MONTREUIL;87382879;Samedi;2019;2019-03-16;L;L2;De 10h à 16h;866
PONT DE RUNGIS AEROPORT D'ORLY;87546192;JOB;2017;2017-04-25;C;C;De 16h à 20h;626
BELLOY SAINT-MARTIN;87276550;Samedi;2019;2019-10-12;H;H;Avant 6h;1
SAINT-MICHEL SUR ORGE;87545202;JOB;2017;2017-04-25;C;C;Avant 6h;237
TOURNAN;87116210;Dimanche;2019;2019-03-16;P;P;Après 20h;69
MONTRY CONDE;87116400;Samedi;2019;2019-05-11;P;P;De 6h à 10h;11
VIRY CHATILLON;87681312;JOB;2019;2019-03-26;D;D;De 16h à 20h;1067
MANTES STATION;87381590;Samedi;2016;2016-11-19;J;J6;De 10h à 16h;126
SAINT-MICHEL SUR ORGE;87545202;JOB;2017;2017-04-25;C;C;De 6h à 10h;3453
BECON LES BRUYERES;87382002;Samedi;2014;2014-05-17;L;L3;De 6h à 10h;579
MORMANT;87116087;JOB;2019;2019-05-16;P;P;De 6h à 10h;14
PONTOISE;87276139;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;499
BESSANCOURT;87276642;Samedi;2019;2019-10-12;H;H;Avant 6h;14
NOGENT LE PERREUX;87113746;Samedi;2016;2016-10-01;E;E;De 10h à 16h;2518
TRILPORT;87116491;Dimanche;2019;2019-05-12;P;P;Après 20h;55
MORMANT;87116087;Samedi;2019;2019-05-11;P;P;De 6h à 10h;76
PONTOISE;87276139;Samedi;2017;2017-04-22;C;C;Avant 6h;56
MEULAN HARDRICOURT;87381830;JOB;2018;2018-01-23;J;J6;De 6h à 10h;314
NOISY LE SEC;87113217;JOB;2016;2016-10-04;E;E;Avant 6h;738
TRILPORT;87116491;Samedi;2019;2019-05-11;P;P;Après 20h;82
PUTEAUX;87382382;Dimanche;2019;2019-03-17;L;L2;De 10h à 16h;879
VOSVES;87682500;JOB;2019;2019-03-26;D;D;De 16h à 20h;7
BRUYERES SUR OISE;87276451;JOB;2019;2019-10-10;H;H;Après 20h;4
PANTIN;87113209;Samedi;2016;2016-10-01;E;E;Après 20h;1203
CLICHY LEVALLOIS;87381129;Dimanche;2014;2014-05-18;L;L3;Avant 6h;24
SAINT-CLOUD;87382358;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;1201
PORTE D'ASNIERES;87222222;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;0
OSNY;87381145;JOB;2018;2018-01-23;J;J6;Après 20h;4
ROISSY EN BRIE;87116038;Dimanche;2016;2016-10-02;E;E;Après 20h;240
CLICHY LEVALLOIS;87381129;Dimanche;2014;2014-05-18;L;L3;De 16h à 20h;893
VAUCRESSON;87382267;Samedi;2019;2019-03-16;L;L2;De 10h à 16h;628
YERRES;87682112;Dimanche;2019;2019-03-24;D;D;Avant 6h;21
OSNY;87381145;JOB;2018;2018-01-23;J;J6;De 6h à 10h;620
SAINT-OUEN L'AUMONE;87276105;JOB;2017;2017-04-25;C;C;De 6h à 10h;483
TRILPORT;87116491;Samedi;2019;2019-05-11;P;P;De 6h à 10h;236
VERSAILLES RIVE DROITE;87382861;JOB;2019;2019-03-14;L;L2;Après 20h;488
PORTE D'ASNIERES;87222222;Samedi;2017;2017-04-22;C;C;De 6h à 10h;0
CERNAY;87276063;Dimanche;2019;2019-10-13;H;H;Avant 6h;11
SAINTE-GENEVIEVE DES BOIS;87545210;Samedi;2017;2017-04-22;C;C;De 10h à 16h;1436
HOUILLES CARRIERES SUR SEINE;87386409;JOB;2018;2018-03-27;L;L3;De 6h à 10h;2384
SAINT-SIMEON;87116368;JOB;2019;2019-05-14;P;P;Après 20h;1
PORTE DE CLICHY;87111278;JOB;2017;2017-04-25;C;C;De 16h à 20h;2818
PARIS SAINT-LAZARE;87384008;Dimanche;2016;2016-11-20;J;J6;De 6h à 10h;1196
SAINTE-GENEVIEVE DES BOIS;87545210;Samedi;2017;2017-04-22;C;C;De 6h à 10h;768
VAIRES TORCY;87116293;Dimanche;2019;2019-03-16;P;P;De 16h à 20h;457
VIROFLAY RIVE DROITE;87382887;Samedi;2019;2019-03-16;L;L2;De 6h à 10h;344
BONDY;87113407;JOB;2016;2016-10-04;E;E;De 16h à 20h;2972
PONTOISE;87276139;JOB;2018;2018-01-23;J;J6;De 10h à 16h;752
ROSNY BOIS PERRIER;87113696;JOB;2016;2016-10-04;E;E;Avant 6h;115
HOUILLES CARRIERES SUR SEINE;87386409;Samedi;2014;2014-05-17;L;L3;De 6h à 10h;298
ACHERES VILLE;87381657;JOB;2018;2018-03-27;L;L3;De 16h à 20h;404
BONDY;87113407;Samedi;2016;2016-10-01;E;E;De 10h à 16h;3526
CREIL;87276006;JOB;2019;2019-10-10;H;H;Après 20h;31
ROSNY SOUS BOIS;87113704;Samedi;2016;2016-10-01;E;E;De 6h à 10h;1124
VAIRES TORCY;87116293;JOB;2019;2019-03-13;P;P;De 16h à 20h;657
SAINTE-COLOMBE SEPTVEILLES;87116178;Dimanche;2019;2019-05-12;P;P;De 6h à 10h;7
SAINT-CHERON;87545509;Dimanche;2017;2017-04-23;C;C;Après 20h;25
SANTEUIL LE PERCHAY;87381186;Dimanche;2016;2016-11-20;J;J6;De 6h à 10h;22
VAUBOYEN;87393538;JOB;2017;2017-04-25;C;C;Après 20h;8
LES VALLEES;87386300;Samedi;2014;2014-05-17;L;L3;Avant 6h;38
ASNIERES SUR SEINE;87381137;JOB;2018;2018-03-27;L;L3;Après 20h;564
EMERAINVILLE PONTAULT COMBAULT;87116046;JOB;2016;2016-10-04;E;E;De 16h à 20h;1194
THUN LE PARADIS;87381822;JOB;2018;2018-01-30;J;J6;De 6h à 10h;85
VAL DE FONTENAY;87113712;Dimanche;2016;2016-10-02;E;E;Avant 6h;53
VILLIERS MONTBARBIN;87116749;JOB;2019;2019-05-14;P;P;De 6h à 10h;57
TOURNAN;87116210;Dimanche;2019;2019-03-16;P;P;De 10h à 16h;261
SAINT-CYR;87393223;JOB;2017;2017-04-25;C;C;Avant 6h;19
DOMONT;87276436;JOB;2019;2019-10-10;H;H;Avant 6h;147
VERSAILLES RIVE GAUCHE - CHATEAU DE VERSAILLES;87393157;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;6578
MAISONS LAFFITTE;87386425;Samedi;2014;2014-05-17;L;L3;De 6h à 10h;138
BECON LES BRUYERES;87382002;Dimanche;2014;2014-05-18;L;L3;De 6h à 10h;234
SAINT-CYR;87393223;JOB;2017;2017-04-25;C;C;De 16h à 20h;293
TRIE CHATEAU;87381236;Dimanche;2016;2016-11-20;J;J6;De 16h à 20h;42
AUVERS SUR OISE;87276543;JOB;2019;2019-10-10;H;H;De 6h à 10h;82
BOIS LE ROI;87682203;JOB;2017;2017-03-07;R;R;De 10h à 16h;265
CERGY PREFECTURE;87381905;JOB;2018;2018-03-27;L;L3;De 6h à 10h;2166
GRETZ ARMAINVILLIERS;87116012;Dimanche;2016;2016-10-02;E;E;Avant 6h;18
ENGHIEN LES BAINS;87276022;Samedi;2019;2019-10-12;H;H;Avant 6h;96
VIROFLAY RIVE GAUCHE;87393215;Samedi;2017;2017-04-22;C;C;De 16h à 20h;669
NANTERRE UNIVERSITE;87386318;Samedi;2014;2014-05-17;L;L3;De 10h à 16h;1114
LES VALLEES;87386300;Dimanche;2014;2014-05-18;L;L3;Après 20h;238
LE CHENAY GAGNY;87113522;JOB;2016;2016-10-04;E;E;De 16h à 20h;490
ERMONT HALTE;87276584;Dimanche;2019;2019-10-13;H;H;Avant 6h;8
BALLANCOURT;87681437;JOB;2019;2019-03-26;D;D;De 6h à 10h;562
CHAMPAGNE SUR SEINE;87682450;Samedi;2017;2017-03-11;R;R;Après 20h;18
LES VALLEES;87386300;Samedi;2014;2014-05-17;L;L3;Après 20h;490
LES YVRIS NOISY LE GRAND;87113803;Dimanche;2016;2016-10-02;E;E;De 16h à 20h;95
ERMONT HALTE;87276584;Samedi;2019;2019-10-12;H;H;Après 20h;83
BESSANCOURT;87276642;JOB;2019;2019-10-10;H;H;De 6h à 10h;766
SARTROUVILLE;87386417;Dimanche;2014;2014-05-18;L;L3;Après 20h;91
VILLIERS MONTBARBIN;87116749;Dimanche;2019;2019-05-12;P;P;De 16h à 20h;13
LES YVRIS NOISY LE GRAND;87113803;JOB;2016;2016-10-04;E;E;Avant 6h;18
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;Samedi;2019;2019-10-12;H;H;De 6h à 10h;538
BRUYERES SUR OISE;87276451;Dimanche;2019;2019-10-13;H;H;De 10h à 16h;26
BELLEVUE;87393116;Dimanche;2018;2018-10-14;N;N;Avant 6h;0
BAGNEAUX SUR LOING;87684191;JOB;2017;2017-03-07;R;R;Après 20h;7
LES YVRIS NOISY LE GRAND;87113803;JOB;2016;2016-10-04;E;E;De 6h à 10h;1058
COMPANS;87272047;Dimanche;2019;2019-03-17;K;K;De 10h à 16h;2
BRUNOY;87682120;Dimanche;2019;2019-03-24;D;D;De 10h à 16h;1500
FERRIERES FONTENAY;87684241;JOB;2017;2017-03-07;R;R;De 6h à 10h;6
NANTERRE UNIVERSITE;87386318;Dimanche;2014;2014-05-18;L;L3;Après 20h;223
NOGENT LE PERREUX;87113746;Samedi;2016;2016-10-01;E;E;Avant 6h;44
COMPANS;87272047;JOB;2019;2019-03-14;K;K;Avant 6h;4
CHAMP DE COURSES D'ENGHIEN;87276030;JOB;2019;2019-10-10;H;H;Après 20h;225
BEYNES;87393363;JOB;2018;2018-10-16;N;N;De 16h à 20h;64
BOIS LE ROI;87682203;Samedi;2017;2017-03-11;R;R;De 6h à 10h;136
SAINT-OUEN L'AUMONE;87276105;JOB;2017;2017-04-25;C;C;Avant 6h;24
COMPANS;87272047;JOB;2019;2019-03-14;K;K;De 16h à 20h;11
CHAMPAGNE SUR OISE;87276519;Dimanche;2019;2019-10-13;H;H;Avant 6h;5
FONTAINE LE PORT;87682427;JOB;2017;2017-03-07;R;R;De 10h à 16h;15
PARIS SAINT-LAZARE;87384008;Dimanche;2014;2014-05-18;L;L3;Avant 6h;77
ROSNY BOIS PERRIER;87113696;Dimanche;2016;2016-10-02;E;E;De 10h à 16h;2104
LA BARRE ORMESSON;87271171;Dimanche;2019;2019-10-13;H;H;Après 20h;241
CHAMPAGNE SUR OISE;87276519;Samedi;2019;2019-10-12;H;H;Après 20h;34
BEYNES;87393363;Samedi;2018;2018-10-20;N;N;De 16h à 20h;21
FERRIERES FONTENAY;87684241;Dimanche;2017;2017-03-12;R;R;Après 20h;0
ROSNY BOIS PERRIER;87113696;Dimanche;2016;2016-10-02;E;E;De 16h à 20h;2593
LA BARRE ORMESSON;87271171;JOB;2019;2019-10-10;H;H;Après 20h;280
BUNO GIRONVILLE;87681510;Samedi;2019;2019-03-23;D;D;De 16h à 20h;17
CLAMART;87391565;Dimanche;2018;2018-10-14;N;N;De 10h à 16h;661
BELLEVUE;87393116;Samedi;2018;2018-10-20;N;N;Après 20h;210
ROSNY BOIS PERRIER;87113696;JOB;2016;2016-10-04;E;E;De 16h à 20h;2954
MERIEL;87276675;JOB;2019;2019-10-10;H;H;Après 20h;26
CESSON;87682161;Dimanche;2019;2019-03-24;D;D;Avant 6h;22
COIGNIERES;87393272;JOB;2018;2018-10-16;N;N;De 10h à 16h;191
FONTAINE LE PORT;87682427;Samedi;2017;2017-03-11;R;R;Après 20h;9
SAVIGNY SUR ORGE;87545236;JOB;2017;2017-04-25;C;C;Après 20h;462
DAMMARTIN JUILLY SAINT-MARD;87271536;JOB;2019;2019-03-14;K;K;De 16h à 20h;99
CESSON;87682161;JOB;2019;2019-03-26;D;D;De 10h à 16h;681
DREUX;87393488;JOB;2018;2018-10-16;N;N;De 16h à 20h;116
FONTAINE LE PORT;87682427;Samedi;2017;2017-03-11;R;R;De 6h à 10h;8
ROSNY BOIS PERRIER;87113696;Samedi;2016;2016-10-01;E;E;De 10h à 16h;3100
MERIEL;87276675;Samedi;2019;2019-10-12;H;H;Avant 6h;8
CHAPONVAL;87276162;Samedi;2019;2019-10-12;H;H;De 16h à 20h;19
HERICY;87682435;Samedi;2017;2017-03-11;R;R;Après 20h;5
FONTAINEBLEAU AVON;87682211;Dimanche;2017;2017-03-12;R;R;Après 20h;383
SAVIGNY SUR ORGE;87545236;JOB;2017;2017-04-25;C;C;De 6h à 10h;6716
MONTIGNY BEAUCHAMP;87276089;JOB;2019;2019-10-10;H;H;Après 20h;337
CREIL;87276006;Dimanche;2019;2019-10-13;H;H;De 16h à 20h;107
EPONE MEZIERES;87386763;Samedi;2018;2018-10-20;N;N;Après 20h;15
FONTAINEBLEAU AVON;87682211;Samedi;2017;2017-03-11;R;R;Après 20h;329
ROSNY SOUS BOIS;87113704;Samedi;2016;2016-10-01;E;E;Avant 6h;140
MONTIGNY BEAUCHAMP;87276089;JOB;2019;2019-10-10;H;H;De 16h à 20h;1082
CHATELET LES HALLES;87758607;JOB;2019;2019-03-26;D;D;De 16h à 20h;31729
FONTENAY LE FLEURY;87393405;JOB;2018;2018-10-16;N;N;Avant 6h;60
FONTAINEBLEAU AVON;87682211;Samedi;2017;2017-03-11;R;R;De 6h à 10h;324
SERMAISE;87545517;JOB;2017;2017-04-25;C;C;De 10h à 16h;24
MONTIGNY BEAUCHAMP;87276089;Samedi;2019;2019-10-12;H;H;De 16h à 20h;667
CHATELET LES HALLES;87758607;JOB;2019;2019-03-26;D;D;De 6h à 10h;7175
FONTENAY LE FLEURY;87393405;JOB;2018;2018-10-16;N;N;De 6h à 10h;3480
FONTAINEBLEAU FORET;87000000;Dimanche;2017;2017-03-12;R;R;De 10h à 16h;0
VERSAILLES CHANTIERS;87393009;Samedi;2017;2017-04-22;C;C;De 6h à 10h;410
NANTEUIL LE HAUDOIN;87271577;Samedi;2019;2019-03-16;K;K;De 10h à 16h;41
DOMONT;87276436;Dimanche;2019;2019-10-13;H;H;De 6h à 10h;248
HOUDAN;87393462;JOB;2018;2018-10-16;N;N;De 10h à 16h;169
HERICY;87682435;Dimanche;2017;2017-03-12;R;R;Après 20h;5
VERSAILLES RIVE GAUCHE - CHATEAU DE VERSAILLES;87393157;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;246
THIEUX NANTOUILLET;87272054;Dimanche;2019;2019-03-17;K;K;Après 20h;0
COMBS LA VILLE QUINCY;87682146;JOB;2019;2019-03-26;D;D;De 6h à 10h;4365
MONTARGIS;87684001;JOB;2017;2017-03-07;R;R;De 16h à 20h;197
HERICY;87682435;JOB;2017;2017-03-07;R;R;De 16h à 20h;11
VILLIERS SUR MARNE LE PLESSIS TREVISE;87113795;Samedi;2016;2016-10-01;E;E;Après 20h;686
PARIS NORD;87271031;JOB;2019;2019-10-10;H;H;Après 20h;15123
EPINAY VILLETANEUSE;87271122;JOB;2019;2019-10-10;H;H;Avant 6h;663
HOUDAN;87393462;Samedi;2018;2018-10-20;N;N;Après 20h;20
EPONE MEZIERES;87386763;Samedi;2018;2018-10-20;N;N;De 6h à 10h;39
VILLENEUVE LE ROI;87545277;JOB;2017;2017-04-25;C;C;Avant 6h;87
PARIS NORD;87271031;Samedi;2019;2019-10-12;H;H;De 16h à 20h;20395
EPLUCHES;87276147;JOB;2019;2019-10-10;H;H;Après 20h;7
MONTARGIS;87684001;Samedi;2017;2017-03-11;R;R;Après 20h;103
LIVRY SUR SEINE;87682401;JOB;2017;2017-03-07;R;R;Avant 6h;2
VIROFLAY RIVE GAUCHE;87393215;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;429
NOISY LE ROI;87393876;Samedi;2016;2016-03-12;L;GCO;Après 20h;21
CRETEIL POMPADOUR;87608802;JOB;2019;2019-03-26;D;D;Après 20h;1344
LE PERRAY;87393298;Dimanche;2018;2018-10-14;N;N;Après 20h;32
FONTENAY LE FLEURY;87393405;Samedi;2018;2018-10-20;N;N;De 10h à 16h;1006
